x	Bottom	Top
0.002568	-0.09951	0.09949
0.002823	-0.09951	0.0995
0.021819	-0.09955	0.09946
0.022075	-0.09954	0.09945
0.041071	-0.09959	0.0994
0.041327	-0.0996	0.09941
0.060321	-0.10113	0.10085
0.060581	-0.10114	0.10087
0.079571	-0.10266	0.10228
0.079834	-0.10272	0.10232
0.098045	-0.10869	0.10815
0.098324	-0.10879	0.10827
0.116521	-0.11322	0.11418
0.116813	-0.11325	0.11421
0.135005	-0.11176	0.11129
0.135291	-0.11167	0.11118
0.1535	-0.10133	0.10086
0.15376	-0.10113	0.10067
0.171231	-0.0864	0.08585
0.171452	-0.08622	0.08567
0.18896	-0.07297	0.07231
0.189147	-0.07283	0.07216
0.206689	-0.05954	0.05876
0.206841	-0.05944	0.05866
0.223648	-0.04611	0.04609
0.224535	-0.04514	0.04516
0.240615	-0.0267	0.02573
0.240682	-0.02664	0.02567
0.259106	-0.01926	0.01816
0.259154	-0.01924	0.01815
0.277594	-0.01481	0.01362
0.27763	-0.01481	0.01362
0.296072	-0.01784	0.01781
0.296888	-0.01811	0.01807
0.314544	-0.02536	0.02369
0.315377	-0.02577	0.02401
0.333014	-0.03438	0.03252
0.333871	-0.03474	0.03295
0.351486	-0.0419	0.04183
0.351594	-0.04195	0.04189
0.369183	-0.05391	0.05315
0.370091	-0.0547	0.05382
0.386873	-0.0704	0.06789
0.387822	-0.07124	0.06875
0.403796	-0.0854	0.08414
0.404785	-0.08646	0.08517
0.420712	-0.10489	0.10205
0.421749	-0.10593	0.10309
0.437635	-0.11989	0.11838
0.438712	-0.12095	0.11951
0.454552	-0.13938	0.13848
0.454909	-0.13981	0.13893
0.470698	-0.15886	0.15786
0.471105	-0.15937	0.15834
0.486845	-0.17835	0.17643
0.488072	-0.17966	0.17776
0.504537	-0.19335	0.19238
0.505033	-0.19364	0.19269
0.52301	-0.20087	0.19996
0.523524	-0.20104	0.20013
0.540708	-0.21138	0.20995
0.541249	-0.21202	0.21056
0.556082	-0.23236	0.23096
0.556678	-0.23287	0.23148
0.574557	-0.23839	0.23585
0.575165	-0.23851	0.23593
0.593033	-0.24291	0.24028
0.593653	-0.24299	0.24038
0.612284	-0.24295	0.24034
0.612905	-0.24296	0.24034
0.631534	-0.24449	0.24175
0.632159	-0.24454	0.24179
0.650786	-0.24453	0.24177
0.65141	-0.24448	0.24175
0.670038	-0.24457	0.24301
0.670664	-0.24478	0.2432
0.686964	-0.25658	0.2526
0.688389	-0.2579	0.25364
