x	Curve1
0.00897	0.009417
0.02795	0.065464
0.03057	0.042609
0.03611	0.100123
0.04697	0.134046
0.04976	0.168702
0.05479	0.202547
0.05824	0.225773
0.0617	0.248999
0.06516	0.272225
0.06861	0.295451
0.07546	0.318679
0.07891	0.341905
0.08237	0.365131
0.08582	0.388358
0.08928	0.411584
0.09612	0.434812
0.10296	0.45804
0.10307	0.49334
0.12007	0.516575
0.13362	0.51937
0.15739	0.54168
0.19132	0.563067
0.24893	0.578895
0.33018	0.576158
0.38435	0.572476
0.40126	0.565055
0.44525	0.556721
0.45876	0.54744
0.49598	0.538174
0.50272	0.527959
0.53655	0.517762
0.54329	0.507547
0.57374	0.497348
0.60414	0.475072
0.63117	0.453722
0.65819	0.431444
0.68521	0.409166
0.70884	0.386885
0.73587	0.365536
0.76627	0.34326
0.80685	0.323777
0.87121	0.332177
0.89836	0.35356
0.91875	0.376797
0.93574	0.399102
0.95274	0.421408
0.97313	0.444644
0.99012	0.46695
1.00712	0.490184
1.02751	0.512492
1.05128	0.534802
1.0852	0.556189
1.13605	0.574799
1.20719	0.585062
1.26813	0.582313
1.34598	0.575858
1.41705	0.561968
1.41706	0.566613
1.47117	0.544351
1.47119	0.548996
1.51513	0.524871
1.51853	0.529517
1.55571	0.509103
1.58951	0.487758
1.61992	0.466411
1.64694	0.444133
1.67396	0.421855
1.6976	0.399574
1.72462	0.378225
1.75164	0.355947
1.78544	0.334602
1.84635	0.324421
1.89043	0.343956
1.91081	0.366264
1.9312	0.3895
1.9482	0.411806
1.9652	0.43504
1.98219	0.457346
2.00258	0.479653
2.01958	0.502888
2.04335	0.525198
2.0705	0.54658
2.11119	0.567043
2.17557	0.581946
2.27377	0.582936
2.35163	0.576481
2.39564	0.572793
2.41931	0.562589
2.45654	0.557038
2.50388	0.537559
2.54784	0.518078
2.58164	0.496733
2.61204	0.474457
2.63907	0.453108
2.66609	0.43083
2.69311	0.408551
2.71675	0.3872
2.74377	0.364922
2.77418	0.343575
2.82152	0.325025
2.87912	0.337137
2.90628	0.359449
2.92666	0.381756
2.94705	0.404064
2.96405	0.427298
2.98104	0.449604
2.99884	0.473564
3.00693	0.48463
