x	Curve1
-0.00157	0.907171
0.01722	0.911774
0.03914	0.929693
0.04384	0.951715
0.05949	0.979366
0.06575	1.010094
0.07202	1.042871
0.08924	1.070522
0.0955	1.119176
0.10802	1.147341
0.11585	1.168337
0.1362	1.189329
0.13777	1.20162
0.14873	1.216982
0.16282	1.23183
0.17065	1.24668
0.17847	1.261018
0.18943	1.269722
0.19569	1.279963
0.21292	1.291737
0.22544	1.30044
0.25205	1.312211
0.25516	1.309439
0.29658	1.310071
0.33603	1.308123
0.36008	1.303982
0.40548	1.293212
0.45558	1.275782
0.49472	1.252723
0.53072	1.228639
0.5683	1.204043
0.59491	1.180475
0.6137	1.166129
0.64501	1.149217
0.66693	1.125139
0.69511	1.107204
0.72798	1.086707
0.76399	1.07133
0.79217	1.056469
0.82975	1.051335
0.88141	1.056952
0.90646	1.071285
0.93151	1.091251
0.95342	1.111731
0.96595	1.127604
0.98474	1.14706
1.01135	1.181366
1.0317	1.198773
1.0411	1.223354
1.06928	1.24332
1.09589	1.265334
1.11155	1.278133
1.13346	1.293491
1.16947	1.308845
1.18826	1.315497
1.21576	1.318166
1.25521	1.321379
1.29269	1.320722
1.33016	1.316838
1.37299	1.310316
1.4184	1.292376
1.47632	1.271358
1.50763	1.248813
1.54207	1.232925
1.56086	1.214993
1.58278	1.196548
1.61252	1.178101
1.62505	1.161708
1.65166	1.14531
1.66888	1.130964
1.68767	1.11969
1.70489	1.109954
