x	Curve1
0.00302	-8e-07
0.03164	0.008327
0.05443	0.031726
0.06583	0.056102
0.07343	0.080479
0.08102	0.104857
0.08442	0.132331
0.09045	0.171803
0.10002	0.184816
0.10762	0.209193
0.11521	0.23357
0.11901	0.257949
0.12661	0.282326
0.1456	0.314502
0.1684	0.3379
0.19499	0.361297
0.22158	0.384694
0.24817	0.406141
0.30895	0.418803
0.37733	0.402207
0.43051	0.381715
0.4685	0.359276
0.50269	0.336839
0.52928	0.313428
0.54447	0.301722
0.57106	0.278311
0.59386	0.254901
0.62045	0.23149
0.65084	0.203202
0.67743	0.179791
0.70402	0.15638
0.73441	0.132968
0.75678	0.113582
0.80503	0.092672
0.84422	0.088017
0.86834	0.092655
0.88636	0.097823
0.92055	0.120243
0.94714	0.14364
0.96613	0.168014
0.98513	0.191414
1.00032	0.215789
1.01552	0.237239
1.03071	0.261614
1.0649	0.312314
1.0839	0.335713
1.10669	0.360087
1.13328	0.383484
1.17127	0.405903
1.23205	0.423441
1.31942	0.418542
1.3802	0.400973
1.42958	0.379507
1.46757	0.357068
1.50556	0.331704
1.53215	0.308293
1.55874	0.284882
1.58533	0.261471
1.61192	0.23806
1.63851	0.214649
1.66511	0.191238
1.6879	0.167828
1.71829	0.144416
1.74868	0.121004
1.77286	0.102484
1.80905	0.090865
1.84824	0.09008
1.88543	0.097565
1.92342	0.119984
1.94621	0.143382
1.96901	0.167756
1.9842	0.191156
2.01459	0.236006
2.02979	0.260381
2.05258	0.294506
2.07157	0.318881
2.09057	0.34228
2.11336	0.365678
2.13995	0.389075
2.18554	0.410517
2.25771	0.425126
2.33749	0.414379
2.39447	0.395836
2.44005	0.37437
2.47804	0.351932
2.51603	0.322667
2.54262	0.299256
2.56921	0.275845
2.5958	0.252434
2.62239	0.229023
2.64898	0.205612
2.67178	0.182202
2.69837	0.158791
2.72876	0.135379
2.76675	0.11294
2.78291	0.099127
2.83719	0.088277
2.87337	0.091364
2.88451	0.097307
2.92249	0.119726
2.94529	0.143124
2.96808	0.166523
2.98191	0.195825
2.99698	0.219815
