x	Curve1
-0.00189	1.9786
0.01187	2.01098
0.0194	2.0526
0.03155	2.1007
0.03751	2.14971
0.04961	2.20798
0.05551	2.26995
0.0767	2.36799
0.09953	2.44292
0.12248	2.49288
0.16358	2.54685
0.19462	2.56785
0.23543	2.57955
0.27822	2.58543
0.32103	2.58431
0.3658	2.58087
0.40863	2.57509
0.44563	2.56931
0.47875	2.56003
0.51576	2.55075
0.55473	2.53798
0.59176	2.52404
0.62687	2.50661
0.73274	2.44365
0.78295	2.41125
0.81803	2.39964
0.85889	2.40086
0.89579	2.41604
0.92731	2.44757
0.96423	2.4809
0.98494	2.49654
1.01403	2.51987
1.04507	2.54088
1.07612	2.55955
1.11109	2.57241
1.15191	2.58178
1.1908	2.58765
1.23554	2.59119
1.28029	2.59125
1.32505	2.59013
1.36982	2.58552
1.41266	2.57975
1.4516	2.57397
1.49249	2.56702
1.52951	2.55542
1.5432	2.54145
1.57829	2.52518
1.61338	2.51008
1.62119	2.50543
1.6524	2.48799
1.67159	2.47617
1.6902	2.4577
1.7057	2.44662
